name,yr_est,yrs_opr,address,city,state,zip,enrol_nbr,mascot,gr_served,day_or_res,phone_nbr,vp_nbr,website,lat,long
New Mexico School for the Deaf,1885,138,1060 Cerrillos Road,Santa Fe,New Mexico,87505,142,Roadrunners,PreK-12,Residential,(505) 476-6300,(505) 216-2001,https://www.nmsd.k12.nm.us/,35.67666,-105.957
New York School for the Deaf,1817,206,555 Knollwood Road,White Plains,New York,10603,132,Golden Tornadoes,PreK-12,Day,(914) 949-7310,(914) 259-8011,https://www.nysd.net/,41.05244,-73.7975
New York State School for the Deaf,1875,148,401 Turin Street,Rome,New York,13440,48,Trojans,PreK-12,Residential,(315) 337-8400,NA,https://www.p12.nysed.gov/specialed/nyssd/,43.22369,-75.4568
North Carolina School for the Deaf,1894,129,517 W Fleming Drive,Morganton,North Carolina,28655,62,Bears,PreK-12,Residential,(828) 432-5200,NA,https://ncsd.net/,35.72992,-81.6912
North Dakota School for the Deaf,1890,133,1401 College Drive North,Devils Lake,North Dakota,58301,20,Bulldogs,PreK-12,Residential,(701) 665-4400,NA,https://www.ndsd.nd.gov/,48.12276,-98.867
Ohio School for the Deaf,1829,194,500 Morse Road,Columbus,Ohio,43214,112,Spartans,PreK-12,Residential,(614) 728-4030,NA,https://osd.ohio.gov/,40.06468,-83.0055
Oklahoma School for the Deaf,1906,117,1100 East Oklahoma Avenue,Sulphur,Oklahoma,73086,111,Indians,PreK-12,Residential,(580) 622-4900,NA,https://www.osd.k12.ok.us/,34.51214,-96.9536
Oregon School for the Deaf,1870,153,999 Locust Street NE,Salem,Oregon,97301-0954,92,Panthers,K-12,Residential,(503) 400-6180,NA,https://www.oregon.gov/osd/Pages/default.aspx,44.96672,-123.024
Pennsylvania School for the Deaf,1820,203,100 W School House Lane,Philadelphia,Pennsylvania,19144,159,Panthers,PreK-12,Day,(215) 951-4700,(267) 331-4748,https://psd.org/,40.03194,-75.1747
Phoenix Day School for the Deaf,1967,56,7654 N. 19th Avenue,Phoenix,Arizona,85021,257,Roadrunners,PreK-12,Day,(602) 771-5347,NA,https://asdb.az.gov/pdsd/,33.55016,-112.1
"P.S. 347 ""47"" The American Sign Language and English Lower School",2005,18,225 E 23rd Street,New York City,New York,10010,200,Tigers,PreK-8,Day,(917) 326-6608,(347) 252-6302,https://www.ps347.org/,40.73863,-73.9816
P.S. 47 The American Sign Language and English Secondary School,1908,115,225 E 23rd Street,New York City,New York,10010,241,Tigers,9-12,Day,(917) 326-6668,NA,https://www.47aslhs.net/,40.73878,-73.9814
Rhode Island School for the Deaf,1876,147,One Corliss Park,Providence,Rhode Island,02908,82,Roosters,PreK-12,Day,(401) 222-3525,(401) 216-8425,https://rideaf.ri.gov/index.php,41.85084,-71.4272
Rochester School for the Deaf,1876,147,1545 St Paul Street,Rochester,New York,14621,136,Wildcats,PreK-12,Residential,(585) 544-1240,(585) 286-2808,https://www.rsdeaf.org/,43.18546,-77.6246
South Carolina School for the Deaf and Blind,1849,174,355 Cedar Springs Road,Spartanburg,South Carolina,29302,NA,Hornets,PreK-12,Residential,(864) 577-7743,(864) 256-4159,https://www.scsdb.org/,34.91105,-81.8815
St. Francis de Sales School for the Deaf,1960,63,260 Eastern Parkway,Brooklyn,New York,11225,75,NA,PreK-8,Day,(718) 636-4573,(347) 227-0891,https://sfdesales.org/,40.67086,-73.9608
St. Joseph's School for the Deaf,1869,154,1000 Hutchinson River Parkway,Bronx,New York,10465,112,NA,PreK-8,Day,(718) 828-9000,NA,https://www.sjsdny.org/,40.82737,-73.8358
St. Mary's School for the Deaf,1853,170,2253 Main Street,Buffalo,New York,14214,109,Bison,PreK-12,Residential,(716) 834-7200,(716) 239-4171,https://www.smsdk12.org/,42.93078,-78.8471
St. Rita School for the Deaf,1915,108,1720 Glendale Milford Road,Cincinnati,Ohio,45215,117,Lions,PreK-12,Day,(513) 771-7600,NA,https://www.srsdeaf.org/,39.25571,-84.4446
Tennessee School for the Deaf,1845,178,2725 Island Home Blvd,Knoxville,Tennessee,37920,140,Vikings,PreK-12,Residential,(865) 579-2500,NA,https://www.tsdeaf.org/,35.95883,-83.8773
Texas School for the Deaf,1856,167,1102 S. Congress Avenue,Austin,Texas,78704,471,Rangers,PreK-12,Residential,(512) 462-5353,(512) 569-6324,https://www.tsd.state.tx.us/,30.25379,-97.7491
The Learning Center for the Deaf,1970,53,848 Central Street,Framingham,Massachusetts,01701,210,Galloping Ghosts,PreK-12,Residential,(508) 879-5110,(508) 283-7684,https://www.tlcdeaf.org/,42.30691,-71.4282
Rocky Mountain School for the Deaf,1997,26,10300 W. Nassau Avenue,Denver,Colorado,80235,72,Mountain Lions (?),PreK-12,Day,(303) 984-5749,(720) 961-9200,https://rmds.jeffcopublicschools.org/,39.64322,-105.111
Utah School for the Deaf and Blind - Ogden Campus,1884,139,742 S Harrison Blvd,Ogden,Utah,84404,30,Eagles,PreK-12,Residential,(801) 629-4700,(800) 990-9328,https://www.usdb.org/,41.25084,-111.945
Utah School for the Deaf and Blind - Springville Campus,2020,3,1160 W. 900 S,Springville,Utah,84663,34,NA,PreK-12,Day,(801) 431-5116,NA,https://www.usdb.org/programs/deaf-and-hard-of-hearing/eds/,40.1545,-111.631
Virginia School for the Deaf and the Blind,1839,184,104 VSDB Drive,Staunton,Virginia,24401,66,Cardinals,PreK-12,Residential,(540) 332-9000,NA,https://www.vsdb.k12.va.us/,38.15049,-79.064
Washington School for the Deaf,1886,137,611 Grand Blvd,Vancouver,Washington,98661,120,Terriers,K-12,Residential,(360) 696-6525,NA,https://www.wsd.wa.gov/,45.62513,-122.639
West Virginia Schools for the Deaf and Blind,1870,153,301 East Main Street,Romney,West Virginia,26757,78,Lions,PreK-12,Residential,(304) 822-4800,NA,https://www.wvsdb2.state.k12.wv.us/,39.3416,-78.752
Western Pennsylvania School for the Deaf,1869,154,300 East Swissvale Avenue,Edgewood,Pennsylvania,15218,204,Lions,PreK-12,Residential,(412) 371-7000,NA,https://www.wpsd.org/,40.43457,-79.8815
West Tennessee School for the Deaf,1986,37,100 Berryhill Drive,Jackson,Tennessee,38301,28,Eagles,PreK-6,Day,(731) 423-5705,NA,https://www.tsdeaf.org/apps/pages/WTSD,35.64632,-88.7887
Willie Ross School for the Deaf,1967,56,32 Norway Street,Longmeadow,Massachusetts,01106,57,NA,PreK-12,Day,(413) 567-0374,(413) 798-4221,https://www.wrsdeaf.org/,42.03104,-72.5782
Wisconsin School for the Deaf,1852,171,309 W. Walworth Avenue,Delavan,Wisconsin,53115,NA,Firebirds,PreK-12,Residential,(262) 728-7131,(262) 725-0097,https://wesp-dhh.wi.gov/wsd/,42.63381,-88.6561
